Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
916039;Task-286;POLICY3_CLOUD;TASK_CONCLUDED;106298;2506179;7675;623883;2216294
916079;Task-477;POLICY3_CLOUD;TASK_CONCLUDED;73984;1744335;5341;434231;1542570
916774;Task-399;POLICY3_CLOUD;TASK_CANCELED;110306;2066314;4543;514384;1845082
921095;Task-459;POLICY3_CLOUD;TASK_CONCLUDED;99216;1858578;4086;462671;1659587
922165;Task-316;POLICY3_CLOUD;TASK_CONCLUDED;102907;2426232;7430;603982;2145594
923358;Task-126;POLICY3_CLOUD;TASK_CONCLUDED;134160;3163052;9686;787404;2797188
927715;Task-336;POLICY3_CLOUD;TASK_CONCLUDED;99399;2343511;7176;583389;2072441
930417;Task-447;POLICY3_CLOUD;TASK_CONCLUDED;81696;1926163;5898;479495;1703367
936152;Task-390;POLICY3_CLOUD;TASK_CONCLUDED;92186;2173469;6656;541059;1922067
936391;Task-145;POLICY3_CLOUD;TASK_CONCLUDED;133528;3148142;9641;783693;2784003
937485;Task-467;POLICY3_CLOUD;TASK_CONCLUDED;79468;1873619;5737;466415;1656900
937946;Task-120;POLICY3_CLOUD;TASK_CONCLUDED;139007;3277325;10036;815851;2898244
938513;Task-184;POLICY3_CLOUD;TASK_CONCLUDED;127258;3000313;9188;746892;2653273
938515;Task-353;POLICY3_CLOUD;TASK_CONCLUDED;99268;2340428;7167;582622;2069715
938807;Task-170;POLICY3_CLOUD;TASK_CONCLUDED;129761;3059323;9369;761582;2705458
939849;Task-198;POLICY3_CLOUD;TASK_CONCLUDED;124904;2944828;9018;733080;2604206
942071;Task-317;POLICY3_CLOUD;TASK_CONCLUDED;106248;2505000;7671;623590;2215251
944504;Task-367;POLICY3_CLOUD;TASK_CONCLUDED;97481;2298292;7038;572133;2032453
948829;Task-238;POLICY3_CLOUD;TASK_CONCLUDED;119579;2819294;8633;701830;2493192
951485;Task-169;POLICY3_CLOUD;TASK_CANCELED;166694;3122543;6865;777320;2788226
954763;Task-123;POLICY3_CLOUD;TASK_CONCLUDED;140362;3309264;10134;823802;2926488
955619;Task-153;POLICY3_CLOUD;TASK_CONCLUDED;135810;3201953;9805;797088;2831589
957639;Task-395;POLICY3_CLOUD;TASK_CONCLUDED;94788;2234807;6843;556329;1976311
958908;Task-455;POLICY3_CLOUD;TASK_CONCLUDED;85662;2019655;6185;502769;1786045
960559;Task-474;POLICY3_CLOUD;TASK_CONCLUDED;82346;1941485;5945;483310;1716916
961770;Task-409;POLICY3_CLOUD;TASK_CANCELED;117778;2206272;4850;549225;1970055
